style,description
Cape Cod,Cape Cod house architecture style
Romanesque,Romanesque house architecture style
Tudor Revival,Tudor Revival house architecture style
Edwardian,Edwardian house architecture style
Georgian,Georgian house architecture style
Gothic ,Gothic house architecture style
Greek Revival,Greek Revival house architecture style
Colonial,Colonial house architecture style
American craftsman ,American craftsman house architecture style
American Foursquare ,American Foursquare house architecture style
